locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLCOOICO_00890	CDS	276	yhcO		COG2732	putative protein YhcO
DLCOOICO_00891	CDS	1005	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
DLCOOICO_00892	CDS	1818	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
DLCOOICO_00893	CDS	141				hypothetical protein
DLCOOICO_00894	CDS	1545				hypothetical protein
DLCOOICO_00895	CDS	1224				hypothetical protein
DLCOOICO_00896	CDS	303				hypothetical protein
DLCOOICO_00897	CDS	294	ibaG		COG5007	Acid stress protein IbaG
DLCOOICO_00898	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
DLCOOICO_00899	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
DLCOOICO_00900	CDS	252	grxC		COG0695	Glutaredoxin 3
DLCOOICO_00901	CDS	432	yibN		COG0607	putative protein YibN
DLCOOICO_00902	CDS	510				hypothetical protein
DLCOOICO_00903	CDS	753				hypothetical protein
DLCOOICO_00904	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
DLCOOICO_00905	CDS	204	rfbD_1	5.4.99.9		UDP-galactopyranose mutase
DLCOOICO_00906	CDS	681	rfbD_2	5.4.99.9		UDP-galactopyranose mutase
DLCOOICO_00907	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
DLCOOICO_00908	CDS	780	panF		COG4145	Sodium/pantothenate symporter
DLCOOICO_00909	CDS	615				hypothetical protein
DLCOOICO_00910	CDS	864	ypjD		COG4137	Inner membrane protein YpjD
DLCOOICO_00911	CDS	726	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
DLCOOICO_00912	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
DLCOOICO_00913	CDS	315				hypothetical protein
DLCOOICO_00914	CDS	1629	fadB		COG1024	Fatty acid oxidation complex subunit alpha
DLCOOICO_00915	CDS	201	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
DLCOOICO_00916	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
DLCOOICO_00917	CDS	1002	lst	2.4.99.-		CMP-N-acetylneuraminate:beta-galactoside alpha-2,3-sialyltransferase
DLCOOICO_00918	CDS	165				hypothetical protein
DLCOOICO_00919	CDS	531				hypothetical protein
DLCOOICO_00920	CDS	747	xylH		COG4214	Xylose transport system permease protein XylH
DLCOOICO_00921	CDS	525				hypothetical protein
DLCOOICO_00922	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
DLCOOICO_00923	CDS	360	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
DLCOOICO_00924	CDS	348				hypothetical protein
DLCOOICO_00925	CDS	492	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
DLCOOICO_00926	CDS	756	gntR			HTH-type transcriptional regulator GntR
DLCOOICO_00927	CDS	1692	rapA_2	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
DLCOOICO_00928	CDS	366				hypothetical protein
DLCOOICO_00929	CDS	471				hypothetical protein
DLCOOICO_00930	CDS	954				hypothetical protein
DLCOOICO_00931	CDS	237				hypothetical protein
DLCOOICO_00932	CDS	354				hypothetical protein
DLCOOICO_00933	CDS	357				hypothetical protein
DLCOOICO_00934	CDS	489	argR_1			Arginine repressor
DLCOOICO_00935	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
DLCOOICO_00936	CDS	837	rhaS_2			HTH-type transcriptional activator RhaS
DLCOOICO_00937	CDS	816				hypothetical protein
DLCOOICO_00938	CDS	333	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
DLCOOICO_00939	tRNA	77				tRNA-Met(cat)
DLCOOICO_00940	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
DLCOOICO_00941	CDS	276				hypothetical protein
DLCOOICO_00942	CDS	459				hypothetical protein
DLCOOICO_00943	CDS	558	ptrA	3.4.24.55	COG1025	Protease 3
DLCOOICO_00944	CDS	501	sspB		COG2969	Stringent starvation protein B
DLCOOICO_00945	CDS	639	sspA		COG0625	Stringent starvation protein A
DLCOOICO_00946	CDS	315	priB		COG2965	Primosomal replication protein N
DLCOOICO_00947	CDS	396	rpsF		COG0360	30S ribosomal protein S6
DLCOOICO_00948	CDS	276				hypothetical protein
DLCOOICO_00949	CDS	285	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
DLCOOICO_00950	CDS	372	hypA		COG0375	Hydrogenase maturation factor HypA
DLCOOICO_00951	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
DLCOOICO_00952	CDS	1395	galP			Galactose-proton symporter
DLCOOICO_00953	CDS	111				hypothetical protein
DLCOOICO_00954	CDS	1698	feoB		COG0370	Fe(2+) transporter FeoB
DLCOOICO_00955	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
DLCOOICO_00956	CDS	444				hypothetical protein
DLCOOICO_00957	CDS	327				hypothetical protein
DLCOOICO_00958	CDS	513				hypothetical protein
DLCOOICO_00959	CDS	1002	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
DLCOOICO_00960	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
DLCOOICO_00961	CDS	660	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
DLCOOICO_00962	CDS	567				hypothetical protein
DLCOOICO_00963	CDS	1083				hypothetical protein
DLCOOICO_00964	CDS	123				hypothetical protein
DLCOOICO_00965	CDS	567	yadL			putative fimbrial-like protein YadL
DLCOOICO_00966	CDS	633				hypothetical protein
DLCOOICO_00967	CDS	558	htrE		COG3188	Outer membrane usher protein HtrE
DLCOOICO_00968	CDS	1266	intA_1		COG0582	Prophage integrase IntA
DLCOOICO_00969	CDS	198				hypothetical protein
DLCOOICO_00970	CDS	174	fixX_2		COG2440	Ferredoxin-like protein FixX
DLCOOICO_00971	CDS	804				hypothetical protein
DLCOOICO_00972	CDS	234				hypothetical protein
DLCOOICO_00973	CDS	327				hypothetical protein
DLCOOICO_00974	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
DLCOOICO_00975	CDS	402				hypothetical protein
DLCOOICO_00976	CDS	291				hypothetical protein
DLCOOICO_00977	CDS	189	dsrB			Protein DsrB
DLCOOICO_00978	CDS	624	rcsA_1		COG2771	Transcriptional regulatory protein RcsA
DLCOOICO_00979	CDS	573	fliR		COG1684	Flagellar biosynthetic protein FliR
DLCOOICO_00980	CDS	201				hypothetical protein
DLCOOICO_00981	CDS	330	zapA		COG3027	Cell division protein ZapA
DLCOOICO_00982	CDS	555	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
DLCOOICO_00983	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
DLCOOICO_00984	CDS	465				hypothetical protein
DLCOOICO_00985	CDS	312				hypothetical protein
DLCOOICO_00986	CDS	960				ISNCY family transposase ISPlu22
DLCOOICO_00987	CDS	966	ytfF			Inner membrane protein YtfF
DLCOOICO_00988	CDS	603	rhaS_3			HTH-type transcriptional activator RhaS
DLCOOICO_00989	CDS	1191	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
DLCOOICO_00990	CDS	321	yeiP		COG0231	Elongation factor P-like protein
DLCOOICO_00991	CDS	522				hypothetical protein
DLCOOICO_00992	CDS	405				hypothetical protein
DLCOOICO_00993	CDS	303				hypothetical protein
DLCOOICO_00994	CDS	423				hypothetical protein
DLCOOICO_00995	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DLCOOICO_00996	CDS	1110	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
DLCOOICO_00997	CDS	504	manZ_1		COG3716	PTS system mannose-specific EIID component
DLCOOICO_00998	CDS	384				hypothetical protein
DLCOOICO_00999	CDS	1020				hypothetical protein
DLCOOICO_01000	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
DLCOOICO_01001	CDS	768	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
DLCOOICO_01002	CDS	1023				hypothetical protein
DLCOOICO_01003	CDS	360	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
DLCOOICO_01004	CDS	732	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
DLCOOICO_01005	CDS	393				hypothetical protein
DLCOOICO_01006	CDS	327	caiE			Carnitine operon protein CaiE
DLCOOICO_01007	CDS	843	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
DLCOOICO_01008	CDS	135				hypothetical protein
DLCOOICO_01009	CDS	237				hypothetical protein
DLCOOICO_01010	CDS	1170	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
DLCOOICO_01011	CDS	543				hypothetical protein
DLCOOICO_01012	CDS	726	rpsB		COG0052	30S ribosomal protein S2
DLCOOICO_01013	CDS	309				hypothetical protein
DLCOOICO_01014	CDS	147				hypothetical protein
DLCOOICO_01015	CDS	561	yqjI		COG1695	Transcriptional regulator YqjI
DLCOOICO_01016	CDS	384	tap_1		COG0840	Methyl-accepting chemotaxis protein IV
DLCOOICO_01017	CDS	153				hypothetical protein
DLCOOICO_01018	CDS	693				hypothetical protein
DLCOOICO_01019	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
DLCOOICO_01020	CDS	489	cooF_2		COG1142	Iron-sulfur protein
DLCOOICO_01021	CDS	474				hypothetical protein
DLCOOICO_01022	CDS	1077	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
DLCOOICO_01023	CDS	810	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
DLCOOICO_01024	CDS	717	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
DLCOOICO_01025	CDS	222				hypothetical protein
DLCOOICO_01026	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
DLCOOICO_01027	CDS	381				hypothetical protein
DLCOOICO_01028	CDS	351				hypothetical protein
DLCOOICO_01029	CDS	450	mioC		COG0716	Protein MioC
DLCOOICO_01030	CDS	177	asnC		COG1522	Regulatory protein AsnC
DLCOOICO_01031	CDS	699	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DLCOOICO_01032	CDS	897				hypothetical protein
DLCOOICO_01033	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
DLCOOICO_01034	CDS	147				hypothetical protein
DLCOOICO_01035	CDS	819	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
DLCOOICO_01036	CDS	375				hypothetical protein
DLCOOICO_01037	CDS	579	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
DLCOOICO_01038	CDS	864				hypothetical protein
DLCOOICO_01039	CDS	354				hypothetical protein
DLCOOICO_01040	CDS	552	fliZ			Regulator of sigma S factor FliZ
DLCOOICO_01041	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
DLCOOICO_01042	CDS	717	pdeH_2	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
DLCOOICO_01043	CDS	525				hypothetical protein
DLCOOICO_01044	CDS	186				hypothetical protein
DLCOOICO_01045	CDS	204				hypothetical protein
DLCOOICO_01046	CDS	150				hypothetical protein
DLCOOICO_01047	CDS	450	aceA	4.1.3.1	COG2224	Isocitrate lyase
DLCOOICO_01048	CDS	405	yhfA		COG1765	Protein YhfA
DLCOOICO_01049	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
DLCOOICO_01050	CDS	810	srlR_1		COG1349	Glucitol operon repressor
DLCOOICO_01051	CDS	213	garD_2	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
DLCOOICO_01052	CDS	1086	prn		COG3468	Pertactin autotransporter
DLCOOICO_01053	CDS	411				hypothetical protein
DLCOOICO_01054	CDS	540				hypothetical protein
DLCOOICO_01055	CDS	471				hypothetical protein
DLCOOICO_01056	CDS	402				hypothetical protein
DLCOOICO_01057	CDS	138				hypothetical protein
DLCOOICO_01058	CDS	111				hypothetical protein
DLCOOICO_01059	CDS	594	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
DLCOOICO_01060	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
DLCOOICO_01061	CDS	363				hypothetical protein
DLCOOICO_01062	CDS	963	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
DLCOOICO_01063	CDS	879	php		COG1735	Phosphotriesterase homology protein
DLCOOICO_01064	CDS	354				hypothetical protein
DLCOOICO_01065	CDS	348				hypothetical protein
DLCOOICO_01066	CDS	786				hypothetical protein
DLCOOICO_01067	CDS	549				hypothetical protein
DLCOOICO_01068	CDS	228				hypothetical protein
DLCOOICO_01069	CDS	264	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
DLCOOICO_01070	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
DLCOOICO_01071	CDS	576				hypothetical protein
DLCOOICO_01072	CDS	147				hypothetical protein
DLCOOICO_01073	CDS	192				hypothetical protein
DLCOOICO_01074	CDS	510				hypothetical protein
DLCOOICO_01075	CDS	930	icsA_2		COG3468	Outer membrane protein IcsA autotransporter
DLCOOICO_01076	CDS	552				hypothetical protein
DLCOOICO_01077	CDS	423				hypothetical protein
DLCOOICO_01078	CDS	324				hypothetical protein
DLCOOICO_01079	CDS	192				hypothetical protein
DLCOOICO_01080	CDS	198	bcsE			Cyclic di-GMP binding protein BcsE
DLCOOICO_01081	CDS	264				hypothetical protein
DLCOOICO_01082	CDS	444	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
DLCOOICO_01083	CDS	996	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
DLCOOICO_01084	CDS	183				hypothetical protein
DLCOOICO_01085	CDS	168				hypothetical protein
DLCOOICO_01086	CDS	228	uvrD1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
DLCOOICO_01087	CDS	1095	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
DLCOOICO_01088	CDS	225				hypothetical protein
DLCOOICO_01089	CDS	417	mexB_1		COG0841	Multidrug resistance protein MexB
DLCOOICO_01090	CDS	357	yffB		COG1393	Protein YffB
DLCOOICO_01091	CDS	282				hypothetical protein
DLCOOICO_01092	CDS	411				hypothetical protein
DLCOOICO_01093	CDS	201				hypothetical protein
DLCOOICO_01094	CDS	432				hypothetical protein
DLCOOICO_01095	CDS	816	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
DLCOOICO_01096	CDS	879	manZ_2		COG3716	PTS system mannose-specific EIID component
DLCOOICO_01097	CDS	435				hypothetical protein
DLCOOICO_01098	CDS	558	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
DLCOOICO_01099	CDS	996	nadB	1.4.3.16	COG0029	L-aspartate oxidase
DLCOOICO_01100	CDS	432	kup			Low affinity potassium transport system protein kup
DLCOOICO_01101	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
DLCOOICO_01102	CDS	417				hypothetical protein
DLCOOICO_01103	CDS	438	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
DLCOOICO_01104	CDS	222				hypothetical protein
DLCOOICO_01105	CDS	150				hypothetical protein
DLCOOICO_01106	CDS	1524	tktB	2.2.1.1	COG0021	Transketolase 2
DLCOOICO_01107	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
DLCOOICO_01108	CDS	363	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
DLCOOICO_01109	CDS	549	lpfA			putative major fimbrial subunit LpfA
DLCOOICO_01110	CDS	726	fimC			Chaperone protein FimC
DLCOOICO_01111	CDS	486				hypothetical protein
DLCOOICO_01112	CDS	1221	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
DLCOOICO_01113	CDS	1467	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
DLCOOICO_01114	CDS	471				hypothetical protein
DLCOOICO_01115	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
DLCOOICO_01116	CDS	399	yqjE		COG5393	Inner membrane protein YqjE
DLCOOICO_01117	CDS	306	yqjD		COG4575	putative protein YqjD
DLCOOICO_01118	CDS	369	yqjC			Protein YqjC
DLCOOICO_01119	CDS	240	mzrA			Modulator protein MzrA
DLCOOICO_01120	CDS	417	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
DLCOOICO_01121	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
DLCOOICO_01122	CDS	399				hypothetical protein
DLCOOICO_01123	CDS	366				hypothetical protein
DLCOOICO_01124	CDS	1038				hypothetical protein
DLCOOICO_01125	CDS	312	rplU		COG0261	50S ribosomal protein L21
DLCOOICO_01126	CDS	258	rpmA		COG0211	50S ribosomal protein L27
DLCOOICO_01127	CDS	336	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
DLCOOICO_01128	CDS	180				hypothetical protein
DLCOOICO_01129	CDS	267				hypothetical protein
DLCOOICO_01130	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
DLCOOICO_01131	tRNA	76				tRNA-Gly(gcc)
DLCOOICO_01132	CDS	174				hypothetical protein
DLCOOICO_01133	CDS	186				hypothetical protein
DLCOOICO_01134	CDS	714				hypothetical protein
DLCOOICO_01135	CDS	243				hypothetical protein
DLCOOICO_01136	CDS	189	nrfA	1.7.2.2	COG3303	Cytochrome c-552
DLCOOICO_01137	CDS	567	nrfB			Cytochrome c-type protein NrfB
DLCOOICO_01138	CDS	672	ydhX		COG0437	putative ferredoxin-like protein YdhX
DLCOOICO_01139	CDS	1053	mtlA_2			PTS system mannitol-specific EIICB component
DLCOOICO_01140	CDS	147				hypothetical protein
DLCOOICO_01141	CDS	471				hypothetical protein
DLCOOICO_01142	CDS	1083	yhfS			putative protein YhfS
DLCOOICO_01143	CDS	252				hypothetical protein
DLCOOICO_01144	CDS	273	yeeZ		COG0451	Protein YeeZ
DLCOOICO_01145	CDS	975	yhaJ_2			HTH-type transcriptional regulator YhaJ
DLCOOICO_01146	CDS	465				hypothetical protein
DLCOOICO_01147	CDS	198				hypothetical protein
DLCOOICO_01148	CDS	294	rpsE		COG0098	30S ribosomal protein S5
DLCOOICO_01149	CDS	180	rpmD		COG1841	50S ribosomal protein L30
DLCOOICO_01150	CDS	435	rplO		COG0200	50S ribosomal protein L15
DLCOOICO_01151	CDS	294	groS		COG0234	10 kDa chaperonin
DLCOOICO_01152	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
DLCOOICO_01153	CDS	939	tsaR			HTH-type transcriptional regulator TsaR
DLCOOICO_01154	CDS	504	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
DLCOOICO_01155	CDS	741	lacZ	3.2.1.23	COG3250	Beta-galactosidase
DLCOOICO_01156	CDS	159				hypothetical protein
DLCOOICO_01157	tRNA	88				tRNA-Ser(gga)
DLCOOICO_01158	CDS	549				hypothetical protein
DLCOOICO_01159	CDS	1149	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
DLCOOICO_01160	CDS	546				hypothetical protein
DLCOOICO_01161	CDS	117				hypothetical protein
DLCOOICO_01162	CDS	915				hypothetical protein
DLCOOICO_01163	CDS	606				hypothetical protein
DLCOOICO_01164	CDS	762				hypothetical protein
DLCOOICO_01165	CDS	249				hypothetical protein
DLCOOICO_01166	CDS	531				hypothetical protein
DLCOOICO_01167	CDS	213				hypothetical protein
DLCOOICO_01168	CDS	324				hypothetical protein
DLCOOICO_01169	CDS	660				hypothetical protein
DLCOOICO_01170	CDS	810				hypothetical protein
DLCOOICO_01171	CDS	321				hypothetical protein
DLCOOICO_01172	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
DLCOOICO_01173	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
DLCOOICO_01174	CDS	381				hypothetical protein
DLCOOICO_01175	CDS	777				hypothetical protein
DLCOOICO_01176	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
DLCOOICO_01177	CDS	204				hypothetical protein
DLCOOICO_01178	CDS	618				hypothetical protein
DLCOOICO_01179	CDS	651				hypothetical protein
DLCOOICO_01180	CDS	288	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
DLCOOICO_01181	CDS	96				hypothetical protein
DLCOOICO_01182	CDS	327				hypothetical protein
DLCOOICO_01183	CDS	99				hypothetical protein
DLCOOICO_01184	CDS	417				hypothetical protein
DLCOOICO_01185	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
DLCOOICO_01186	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
DLCOOICO_01187	CDS	750	rpoD		COG0568	RNA polymerase sigma factor RpoD
DLCOOICO_01188	CDS	453				hypothetical protein
DLCOOICO_01189	CDS	888	tdcC		COG0814	Threonine/serine transporter TdcC
DLCOOICO_01190	CDS	300	gcvR		COG2716	Glycine cleavage system transcriptional repressor
DLCOOICO_01191	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
DLCOOICO_01192	CDS	687	iadA	3.4.19.-		Isoaspartyl dipeptidase
DLCOOICO_01193	CDS	342				hypothetical protein
DLCOOICO_01194	CDS	270				hypothetical protein
DLCOOICO_01195	CDS	762	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
DLCOOICO_01196	CDS	315				hypothetical protein
DLCOOICO_01197	CDS	960	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
DLCOOICO_01198	CDS	663	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
DLCOOICO_01199	CDS	846	lacG			Lactose transport system permease protein LacG
DLCOOICO_01200	CDS	879				hypothetical protein
DLCOOICO_01201	CDS	1398	aer		COG0840	Aerotaxis receptor
DLCOOICO_01202	CDS	351				hypothetical protein
DLCOOICO_01203	CDS	666				hypothetical protein
DLCOOICO_01204	CDS	1341	csrD			RNase E specificity factor CsrD
DLCOOICO_01205	CDS	222	fecR		COG3712	Protein FecR
DLCOOICO_01206	CDS	867				hypothetical protein
DLCOOICO_01207	CDS	195				hypothetical protein
DLCOOICO_01208	CDS	165				hypothetical protein
DLCOOICO_01209	CDS	333	araC_2			Arabinose operon regulatory protein
DLCOOICO_01210	CDS	375				hypothetical protein
DLCOOICO_01211	CDS	123				hypothetical protein
DLCOOICO_01212	CDS	306				hypothetical protein
DLCOOICO_01213	CDS	480				hypothetical protein
DLCOOICO_01214	CDS	1008				hypothetical protein
DLCOOICO_01215	CDS	240				hypothetical protein
DLCOOICO_01216	CDS	453				hypothetical protein
DLCOOICO_01217	CDS	159				hypothetical protein
DLCOOICO_01218	CDS	153				hypothetical protein
DLCOOICO_01219	tRNA	76				tRNA-Lys(ttt)
DLCOOICO_01220	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
DLCOOICO_01221	CDS	510	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
DLCOOICO_01222	CDS	933	gltC			HTH-type transcriptional regulator GltC
DLCOOICO_01223	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
DLCOOICO_01224	CDS	867	hmp	1.14.12.17	COG1017	Flavohemoprotein
DLCOOICO_01225	CDS	294				hypothetical protein
DLCOOICO_01226	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
DLCOOICO_01227	CDS	732	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
DLCOOICO_01228	CDS	390				hypothetical protein
DLCOOICO_01229	CDS	348				hypothetical protein
DLCOOICO_01230	CDS	1416				hypothetical protein
DLCOOICO_01231	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
DLCOOICO_01232	CDS	444				hypothetical protein
DLCOOICO_01233	CDS	123				hypothetical protein
DLCOOICO_01234	CDS	402				hypothetical protein
DLCOOICO_01235	CDS	1236	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
DLCOOICO_01236	CDS	921				hypothetical protein
DLCOOICO_01237	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
DLCOOICO_01238	CDS	432	yehB		COG3188	Outer membrane usher protein YehB
DLCOOICO_01239	CDS	579				hypothetical protein
DLCOOICO_01240	CDS	405				hypothetical protein
DLCOOICO_01241	CDS	255				hypothetical protein
DLCOOICO_01242	CDS	696	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
DLCOOICO_01243	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
DLCOOICO_01244	CDS	297				hypothetical protein
DLCOOICO_01245	CDS	159	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
DLCOOICO_01246	CDS	1080	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
DLCOOICO_01247	CDS	714	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
DLCOOICO_01248	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
DLCOOICO_01249	CDS	567	ycgJ	2.1.1.-		putative methyltransferase YcgJ
DLCOOICO_01250	CDS	861	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
DLCOOICO_01251	CDS	849	rhaR_1			HTH-type transcriptional activator RhaR
DLCOOICO_01252	CDS	552	rhaT		COG0697	L-rhamnose-proton symporter
DLCOOICO_01253	CDS	210				hypothetical protein
DLCOOICO_01254	CDS	273				hypothetical protein
DLCOOICO_01255	CDS	606	lolA			Outer-membrane lipoprotein carrier protein
DLCOOICO_01256	CDS	423				hypothetical protein
DLCOOICO_01257	CDS	510	adhA	1.1.1.-	COG1064	putative formaldehyde dehydrogenase AdhA
DLCOOICO_01258	CDS	819	rhaS_4			HTH-type transcriptional activator RhaS
DLCOOICO_01259	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
DLCOOICO_01260	CDS	702				hypothetical protein
DLCOOICO_01261	CDS	966				hypothetical protein
DLCOOICO_01262	CDS	105	dauA		COG0659	C4-dicarboxylic acid transporter DauA
DLCOOICO_01263	CDS	561				hypothetical protein
DLCOOICO_01264	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
DLCOOICO_01265	CDS	405				hypothetical protein
DLCOOICO_01266	CDS	519				hypothetical protein
DLCOOICO_01267	CDS	411				hypothetical protein
DLCOOICO_01268	CDS	381				hypothetical protein
DLCOOICO_01269	CDS	849	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
DLCOOICO_01270	CDS	105				hypothetical protein
DLCOOICO_01271	CDS	450	yaaA		COG3022	Peroxide stress resistance protein YaaA
DLCOOICO_01272	CDS	291				hypothetical protein
DLCOOICO_01273	CDS	387	thrC	4.2.3.1	COG0498	Threonine synthase
DLCOOICO_01274	CDS	810				hypothetical protein
DLCOOICO_01275	CDS	444				hypothetical protein
DLCOOICO_01276	CDS	492				hypothetical protein
DLCOOICO_01277	CDS	522				hypothetical protein
DLCOOICO_01278	CDS	639				hypothetical protein
