locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHACDFAM_01113	CDS	258				hypothetical protein
EHACDFAM_01114	CDS	960				hypothetical protein
EHACDFAM_01115	CDS	219				hypothetical protein
EHACDFAM_01116	CDS	231				hypothetical protein
EHACDFAM_01117	CDS	270				hypothetical protein
EHACDFAM_01118	CDS	1284				hypothetical protein
EHACDFAM_01119	CDS	426	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
EHACDFAM_01120	CDS	552				hypothetical protein
EHACDFAM_01121	CDS	411				hypothetical protein
EHACDFAM_01122	tRNA	76				tRNA-Phe(gaa)
EHACDFAM_01123	CDS	534	ydfK		COG1811	putative membrane protein YdfK
EHACDFAM_01124	CDS	249				hypothetical protein
EHACDFAM_01125	CDS	618	osmY_1		COG2823	Osmotically-inducible protein Y
EHACDFAM_01126	CDS	474				hypothetical protein
EHACDFAM_01127	CDS	318	metJ		COG3060	Met repressor
EHACDFAM_01128	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
EHACDFAM_01129	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
EHACDFAM_01130	CDS	246		3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
EHACDFAM_01131	CDS	441				hypothetical protein
EHACDFAM_01132	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
EHACDFAM_01133	CDS	735	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
EHACDFAM_01134	CDS	282				hypothetical protein
EHACDFAM_01135	CDS	537				hypothetical protein
EHACDFAM_01136	CDS	345				hypothetical protein
EHACDFAM_01137	CDS	114				hypothetical protein
EHACDFAM_01138	CDS	336	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EHACDFAM_01139	CDS	702	dmlR_2			HTH-type transcriptional regulator DmlR
EHACDFAM_01140	CDS	660	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
EHACDFAM_01141	CDS	687	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
EHACDFAM_01142	CDS	327				hypothetical protein
EHACDFAM_01143	CDS	516				hypothetical protein
EHACDFAM_01144	CDS	456				hypothetical protein
EHACDFAM_01145	CDS	327				hypothetical protein
EHACDFAM_01146	CDS	1140				hypothetical protein
EHACDFAM_01147	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EHACDFAM_01148	CDS	411				hypothetical protein
EHACDFAM_01149	CDS	261				hypothetical protein
EHACDFAM_01150	CDS	402				hypothetical protein
EHACDFAM_01151	CDS	243				hypothetical protein
EHACDFAM_01152	CDS	456	pduF		COG0580	Propanediol diffusion facilitator
EHACDFAM_01153	CDS	957				hypothetical protein
EHACDFAM_01154	CDS	237				hypothetical protein
EHACDFAM_01155	CDS	303				hypothetical protein
EHACDFAM_01156	CDS	315				hypothetical protein
EHACDFAM_01157	CDS	153				hypothetical protein
EHACDFAM_01158	CDS	297				hypothetical protein
EHACDFAM_01159	CDS	165				hypothetical protein
EHACDFAM_01160	CDS	330				hypothetical protein
EHACDFAM_01161	CDS	630				hypothetical protein
EHACDFAM_01162	CDS	456				hypothetical protein
EHACDFAM_01163	CDS	345	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein ytfP
EHACDFAM_01164	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
EHACDFAM_01165	CDS	180	ygaP		COG0607	Inner membrane protein YgaP
EHACDFAM_01166	CDS	402	stpA		COG2916	DNA-binding protein StpA
EHACDFAM_01167	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
EHACDFAM_01168	CDS	351	mrcA		COG5009	Penicillin-binding protein 1A
EHACDFAM_01169	CDS	732	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
EHACDFAM_01170	CDS	312				hypothetical protein
EHACDFAM_01171	CDS	624	evgA			DNA-binding transcriptional activator EvgA
EHACDFAM_01172	CDS	327				hypothetical protein
EHACDFAM_01173	CDS	792				hypothetical protein
EHACDFAM_01174	CDS	462				hypothetical protein
EHACDFAM_01175	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
EHACDFAM_01176	CDS	543	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
EHACDFAM_01177	CDS	1317	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
EHACDFAM_01178	CDS	864				hypothetical protein
EHACDFAM_01179	CDS	906	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
EHACDFAM_01180	CDS	402				hypothetical protein
EHACDFAM_01181	CDS	207				hypothetical protein
EHACDFAM_01182	CDS	429				hypothetical protein
EHACDFAM_01183	CDS	411	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
EHACDFAM_01184	CDS	663	acrR_2		COG1309	HTH-type transcriptional regulator AcrR
EHACDFAM_01185	CDS	165				hypothetical protein
EHACDFAM_01186	CDS	321	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EHACDFAM_01187	CDS	279				hypothetical protein
EHACDFAM_01188	CDS	396			COG1662	IS1 family transposase IS1N
EHACDFAM_01189	CDS	249				hypothetical protein
EHACDFAM_01190	CDS	219				hypothetical protein
EHACDFAM_01191	CDS	180				hypothetical protein
EHACDFAM_01192	CDS	993				hypothetical protein
EHACDFAM_01193	CDS	117				hypothetical protein
EHACDFAM_01194	CDS	633	iprA_1			Inhibitor of hydrogen peroxide resistance
EHACDFAM_01195	CDS	459	ureE			Urease accessory protein UreE
EHACDFAM_01196	CDS	762	ureC	3.5.1.5		Urease subunit alpha
EHACDFAM_01197	CDS	711	gntR_2			HTH-type transcriptional regulator GntR
EHACDFAM_01198	CDS	555	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
EHACDFAM_01199	CDS	495	sapB		COG1285	Protein SapB
EHACDFAM_01200	CDS	564				hypothetical protein
EHACDFAM_01201	CDS	177				hypothetical protein
EHACDFAM_01202	CDS	279				hypothetical protein
EHACDFAM_01203	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
EHACDFAM_01204	CDS	333	mtlF		COG4668	Mannitol-specific phosphotransferase enzyme IIA component
EHACDFAM_01205	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
EHACDFAM_01206	CDS	441	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
EHACDFAM_01207	CDS	375				hypothetical protein
EHACDFAM_01208	CDS	519				hypothetical protein
EHACDFAM_01209	CDS	588	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
EHACDFAM_01210	CDS	252				hypothetical protein
EHACDFAM_01211	CDS	324				hypothetical protein
EHACDFAM_01212	CDS	519				hypothetical protein
EHACDFAM_01213	CDS	618				hypothetical protein
EHACDFAM_01214	CDS	672	yiiM		COG2258	Protein YiiM
EHACDFAM_01215	CDS	750	rbtD	1.1.1.56		Ribitol 2-dehydrogenase
EHACDFAM_01216	CDS	561				hypothetical protein
EHACDFAM_01217	CDS	549	ail		COG3637	Attachment invasion locus protein
EHACDFAM_01218	CDS	720				hypothetical protein
EHACDFAM_01219	CDS	177				hypothetical protein
EHACDFAM_01220	CDS	696				hypothetical protein
EHACDFAM_01221	CDS	255				hypothetical protein
EHACDFAM_01222	CDS	936				hypothetical protein
EHACDFAM_01223	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EHACDFAM_01224	CDS	117	skp		COG2825	Chaperone protein Skp
EHACDFAM_01225	CDS	1272				hypothetical protein
EHACDFAM_01226	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
EHACDFAM_01227	CDS	468				hypothetical protein
EHACDFAM_01228	CDS	1095	hemR		COG1629	Hemin receptor
EHACDFAM_01229	CDS	138				hypothetical protein
EHACDFAM_01230	CDS	147				hypothetical protein
EHACDFAM_01231	CDS	429	btsT		COG1966	Pyruvate/proton symporter BtsT
EHACDFAM_01232	CDS	204				hypothetical protein
EHACDFAM_01233	CDS	171				hypothetical protein
EHACDFAM_01234	CDS	822	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
EHACDFAM_01235	CDS	387	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
EHACDFAM_01236	CDS	192				hypothetical protein
EHACDFAM_01237	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
EHACDFAM_01238	CDS	492	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
EHACDFAM_01239	CDS	201				hypothetical protein
EHACDFAM_01240	CDS	588	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
EHACDFAM_01241	CDS	777				hypothetical protein
EHACDFAM_01242	CDS	354				hypothetical protein
EHACDFAM_01243	CDS	327				hypothetical protein
EHACDFAM_01244	CDS	750	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
EHACDFAM_01245	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
EHACDFAM_01246	CDS	339				hypothetical protein
EHACDFAM_01247	CDS	732	phnF		COG2188	putative transcriptional regulator PhnF
EHACDFAM_01248	CDS	339	phnE		COG3639	Phosphate-import permease protein PhnE
EHACDFAM_01249	CDS	612				hypothetical protein
EHACDFAM_01250	CDS	633	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
EHACDFAM_01251	CDS	1257				hypothetical protein
EHACDFAM_01252	CDS	174				hypothetical protein
EHACDFAM_01253	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
EHACDFAM_01254	CDS	213				hypothetical protein
EHACDFAM_01255	CDS	378				hypothetical protein
EHACDFAM_01256	CDS	132				hypothetical protein
EHACDFAM_01257	CDS	120	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
EHACDFAM_01258	CDS	378	ftsA		COG0849	Cell division protein FtsA
EHACDFAM_01259	CDS	471				hypothetical protein
EHACDFAM_01260	CDS	270				hypothetical protein
EHACDFAM_01261	tRNA	77				tRNA-Asp(gtc)
EHACDFAM_01262	CDS	618	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EHACDFAM_01263	CDS	474	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
EHACDFAM_01264	CDS	414	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
EHACDFAM_01265	CDS	555	lptA		COG1934	Lipopolysaccharide export system protein LptA
EHACDFAM_01266	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
EHACDFAM_01267	CDS	171	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
EHACDFAM_01268	CDS	1242	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
EHACDFAM_01269	CDS	303				hypothetical protein
EHACDFAM_01270	CDS	126				hypothetical protein
EHACDFAM_01271	CDS	249				hypothetical protein
EHACDFAM_01272	CDS	735				hypothetical protein
EHACDFAM_01273	CDS	1020	ascG_1		COG1609	HTH-type transcriptional regulator AscG
EHACDFAM_01274	CDS	348	galR		COG1609	HTH-type transcriptional regulator GalR
EHACDFAM_01275	CDS	237				hypothetical protein
EHACDFAM_01276	CDS	462				hypothetical protein
EHACDFAM_01277	CDS	273				hypothetical protein
EHACDFAM_01278	CDS	300				hypothetical protein
EHACDFAM_01279	CDS	570	tyrA		COG0287	T-protein
EHACDFAM_01280	CDS	696	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
EHACDFAM_01281	CDS	375	bcsG			Cellulose biosynthesis protein BcsG
EHACDFAM_01282	CDS	249				hypothetical protein
EHACDFAM_01283	CDS	324				hypothetical protein
EHACDFAM_01284	CDS	417	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
EHACDFAM_01285	CDS	846	lacG			Lactose transport system permease protein LacG
EHACDFAM_01286	CDS	276	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
EHACDFAM_01287	CDS	789	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
EHACDFAM_01288	tRNA	76				tRNA-Ala(ggc)
EHACDFAM_01289	CDS	618				hypothetical protein
EHACDFAM_01290	CDS	363				hypothetical protein
EHACDFAM_01291	CDS	699	gltF			Protein GltF
EHACDFAM_01292	CDS	744	dppB		COG0601	Dipeptide transport system permease protein DppB
EHACDFAM_01293	CDS	522				hypothetical protein
EHACDFAM_01294	CDS	909				hypothetical protein
EHACDFAM_01295	CDS	654	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
EHACDFAM_01296	CDS	153	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
EHACDFAM_01297	CDS	564				hypothetical protein
EHACDFAM_01298	CDS	144				hypothetical protein
EHACDFAM_01299	CDS	459	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
EHACDFAM_01300	CDS	324				hypothetical protein
EHACDFAM_01301	CDS	807	hycE		COG3261	Formate hydrogenlyase subunit 5
EHACDFAM_01302	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EHACDFAM_01303	CDS	426	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
EHACDFAM_01304	CDS	669				hypothetical protein
EHACDFAM_01305	CDS	180				hypothetical protein
EHACDFAM_01306	CDS	255	csrD			RNase E specificity factor CsrD
EHACDFAM_01307	CDS	210				hypothetical protein
EHACDFAM_01308	CDS	609	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
EHACDFAM_01309	CDS	453	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
EHACDFAM_01310	tRNA	75				tRNA-Gln(ctg)
EHACDFAM_01311	tRNA	77				tRNA-Met(cat)
EHACDFAM_01312	CDS	402	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
EHACDFAM_01313	CDS	138				hypothetical protein
EHACDFAM_01314	CDS	744				hypothetical protein
EHACDFAM_01315	CDS	297	rpsK		COG0100	30S ribosomal protein S11
EHACDFAM_01316	CDS	621	rpsD		COG0522	30S ribosomal protein S4
EHACDFAM_01317	CDS	159				hypothetical protein
EHACDFAM_01318	CDS	141				hypothetical protein
EHACDFAM_01319	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EHACDFAM_01320	CDS	750				hypothetical protein
EHACDFAM_01321	CDS	516	cof	3.6.1.-	COG0561	HMP-PP phosphatase
EHACDFAM_01322	CDS	345				hypothetical protein
EHACDFAM_01323	CDS	414				hypothetical protein
EHACDFAM_01324	CDS	237	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
EHACDFAM_01325	CDS	723	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
EHACDFAM_01326	CDS	210	fucU_1	5.1.3.29	COG4154	L-fucose mutarotase
EHACDFAM_01327	CDS	720	lutA		COG0247	Lactate utilization protein A
EHACDFAM_01328	CDS	159				hypothetical protein
EHACDFAM_01329	CDS	300				hypothetical protein
EHACDFAM_01330	CDS	891	topB	5.6.2.1		DNA topoisomerase 3
EHACDFAM_01331	CDS	492	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
EHACDFAM_01332	CDS	204				hypothetical protein
EHACDFAM_01333	CDS	342				hypothetical protein
EHACDFAM_01334	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
EHACDFAM_01335	CDS	1158	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
EHACDFAM_01336	CDS	117	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
EHACDFAM_01337	CDS	978				hypothetical protein
EHACDFAM_01338	CDS	753	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
EHACDFAM_01339	CDS	261	plaP		COG0531	Low-affinity putrescine importer PlaP
EHACDFAM_01340	CDS	150	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
EHACDFAM_01341	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
EHACDFAM_01342	CDS	393				hypothetical protein
EHACDFAM_01343	CDS	198				hypothetical protein
EHACDFAM_01344	CDS	1002	rng	3.1.26.-	COG1530	Ribonuclease G
EHACDFAM_01345	CDS	513				hypothetical protein
EHACDFAM_01346	CDS	456				hypothetical protein
EHACDFAM_01347	CDS	327				hypothetical protein
EHACDFAM_01348	CDS	492	prs			Putative ribose-phosphate pyrophosphokinase
EHACDFAM_01349	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
EHACDFAM_01350	CDS	927				hypothetical protein
EHACDFAM_01351	CDS	900	fliI_1	7.1.2.2	COG1157	Flagellum-specific ATP synthase
EHACDFAM_01352	CDS	204				hypothetical protein
EHACDFAM_01353	CDS	186				hypothetical protein
EHACDFAM_01354	CDS	126				hypothetical protein
EHACDFAM_01355	CDS	240				hypothetical protein
EHACDFAM_01356	CDS	210				hypothetical protein
EHACDFAM_01357	CDS	249				hypothetical protein
EHACDFAM_01358	CDS	279				hypothetical protein
EHACDFAM_01359	CDS	462				hypothetical protein
EHACDFAM_01360	CDS	513				hypothetical protein
EHACDFAM_01361	CDS	294				hypothetical protein
EHACDFAM_01362	CDS	462	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
EHACDFAM_01363	CDS	201				hypothetical protein
EHACDFAM_01364	CDS	384	fucO_1	1.1.1.77	COG1454	Lactaldehyde reductase
EHACDFAM_01365	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
EHACDFAM_01366	CDS	366				hypothetical protein
EHACDFAM_01367	CDS	636	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
EHACDFAM_01368	CDS	330				hypothetical protein
EHACDFAM_01369	CDS	294				hypothetical protein
EHACDFAM_01370	CDS	1206	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
EHACDFAM_01371	CDS	516	zur		COG0735	Zinc uptake regulation protein
EHACDFAM_01372	CDS	213				hypothetical protein
EHACDFAM_01373	CDS	234	dinF		COG0534	DNA damage-inducible protein F
EHACDFAM_01374	CDS	576	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
EHACDFAM_01375	CDS	216				hypothetical protein
EHACDFAM_01376	CDS	960	yebS		COG2995	Intermembrane transport protein YebS
EHACDFAM_01377	CDS	384	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
EHACDFAM_01378	CDS	306				hypothetical protein
EHACDFAM_01379	CDS	270				hypothetical protein
EHACDFAM_01380	CDS	162				hypothetical protein
EHACDFAM_01381	CDS	228				hypothetical protein
EHACDFAM_01382	CDS	330				hypothetical protein
EHACDFAM_01383	CDS	213				hypothetical protein
EHACDFAM_01384	CDS	1032	ptrA	3.4.24.55	COG1025	Protease 3
EHACDFAM_01385	CDS	516				hypothetical protein
EHACDFAM_01386	CDS	384	glgA	2.4.1.21	COG0297	Glycogen synthase
EHACDFAM_01387	CDS	156	dnaK		COG0443	Chaperone protein DnaK
EHACDFAM_01388	CDS	225				hypothetical protein
EHACDFAM_01389	CDS	537				hypothetical protein
EHACDFAM_01390	CDS	228				hypothetical protein
EHACDFAM_01391	CDS	153				hypothetical protein
EHACDFAM_01392	CDS	240				hypothetical protein
EHACDFAM_01393	CDS	432				hypothetical protein
EHACDFAM_01394	CDS	228	rpsR		COG0238	30S ribosomal protein S18
EHACDFAM_01395	CDS	315	priB		COG2965	Primosomal replication protein N
EHACDFAM_01396	CDS	189	rpsF		COG0360	30S ribosomal protein S6
EHACDFAM_01397	CDS	297	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
EHACDFAM_01398	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
EHACDFAM_01399	CDS	642				hypothetical protein
EHACDFAM_01400	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
EHACDFAM_01401	CDS	1110				hypothetical protein
EHACDFAM_01402	CDS	201				hypothetical protein
EHACDFAM_01403	CDS	309				hypothetical protein
EHACDFAM_01404	CDS	282	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
EHACDFAM_01405	CDS	582	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
EHACDFAM_01406	CDS	417				hypothetical protein
EHACDFAM_01407	CDS	360	yfgD		COG1393	putative protein YfgD
EHACDFAM_01408	CDS	333	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
EHACDFAM_01409	CDS	342	ffh		COG0541	Signal recognition particle protein
EHACDFAM_01410	CDS	249	rpsP		COG0228	30S ribosomal protein S16
EHACDFAM_01411	CDS	552				hypothetical protein
EHACDFAM_01412	CDS	309				hypothetical protein
EHACDFAM_01413	CDS	165				hypothetical protein
EHACDFAM_01414	CDS	237	cusC		COG1538	Cation efflux system protein CusC
EHACDFAM_01415	CDS	339				hypothetical protein
EHACDFAM_01416	CDS	276				hypothetical protein
EHACDFAM_01417	CDS	648				hypothetical protein
EHACDFAM_01418	CDS	780				hypothetical protein
EHACDFAM_01419	CDS	297				hypothetical protein
EHACDFAM_01420	CDS	219				hypothetical protein
EHACDFAM_01421	CDS	540				hypothetical protein
EHACDFAM_01422	CDS	234				hypothetical protein
EHACDFAM_01423	CDS	633			COG2197	Putative transcriptional regulator
EHACDFAM_01424	CDS	942				hypothetical protein
EHACDFAM_01425	CDS	429	comM		COG0606	Competence protein ComM
EHACDFAM_01426	CDS	339				hypothetical protein
EHACDFAM_01427	CDS	138				hypothetical protein
EHACDFAM_01428	CDS	747	nanC			putative N-acetylneuraminic acid outer membrane channel protein NanC
EHACDFAM_01429	CDS	351				hypothetical protein
EHACDFAM_01430	CDS	753				hypothetical protein
EHACDFAM_01431	CDS	519				hypothetical protein
EHACDFAM_01432	CDS	573				hypothetical protein
EHACDFAM_01433	CDS	777				hypothetical protein
EHACDFAM_01434	CDS	300				hypothetical protein
EHACDFAM_01435	CDS	276				hypothetical protein
EHACDFAM_01436	CDS	330				hypothetical protein
EHACDFAM_01437	CDS	207	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
EHACDFAM_01438	CDS	447	csdE		COG2166	Sulfur acceptor protein CsdE
EHACDFAM_01439	CDS	483	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
EHACDFAM_01440	CDS	258				hypothetical protein
EHACDFAM_01441	CDS	156				hypothetical protein
EHACDFAM_01442	CDS	504	fimG			Protein FimG
EHACDFAM_01443	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
EHACDFAM_01444	CDS	597	slmA			Nucleoid occlusion factor SlmA
EHACDFAM_01445	CDS	711				hypothetical protein
EHACDFAM_01446	CDS	219				hypothetical protein
EHACDFAM_01447	CDS	612	pldA	3.1.1.32	COG2829	Phospholipase A1
EHACDFAM_01448	CDS	186	csrA		COG1551	Carbon storage regulator
EHACDFAM_01449	tRNA	93				tRNA-Ser(gct)
EHACDFAM_01450	tRNA	77				tRNA-Arg(acg)
EHACDFAM_01451	CDS	312				hypothetical protein
EHACDFAM_01452	CDS	294				hypothetical protein
EHACDFAM_01453	CDS	558	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
EHACDFAM_01454	CDS	666				hypothetical protein
EHACDFAM_01455	CDS	330				hypothetical protein
EHACDFAM_01456	CDS	231	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EHACDFAM_01457	CDS	237				hypothetical protein
EHACDFAM_01458	CDS	192				hypothetical protein
EHACDFAM_01459	CDS	567	nimR			HTH-type transcriptional regulator NimR
EHACDFAM_01460	CDS	153				hypothetical protein
EHACDFAM_01461	CDS	306				hypothetical protein
EHACDFAM_01462	CDS	393	fliS		COG1516	Flagellar secretion chaperone FliS
EHACDFAM_01463	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
EHACDFAM_01464	CDS	504	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
EHACDFAM_01465	CDS	363				hypothetical protein
EHACDFAM_01466	CDS	390				hypothetical protein
EHACDFAM_01467	CDS	249	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
EHACDFAM_01468	CDS	390	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
EHACDFAM_01469	CDS	402				hypothetical protein
EHACDFAM_01470	CDS	270				hypothetical protein
EHACDFAM_01471	CDS	657				hypothetical protein
EHACDFAM_01472	tRNA	77				tRNA-Pro(tgg)
EHACDFAM_01473	CDS	393	hemY		COG3071	Protein HemY
EHACDFAM_01474	CDS	165				hypothetical protein
EHACDFAM_01475	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
EHACDFAM_01476	CDS	249				hypothetical protein
EHACDFAM_01477	CDS	759				hypothetical protein
EHACDFAM_01478	CDS	210				hypothetical protein
EHACDFAM_01479	CDS	273				hypothetical protein
EHACDFAM_01480	CDS	672	aaeB		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
EHACDFAM_01481	CDS	249				hypothetical protein
EHACDFAM_01482	CDS	186				hypothetical protein
EHACDFAM_01483	CDS	642				hypothetical protein
EHACDFAM_01484	CDS	312				hypothetical protein
EHACDFAM_01485	CDS	1020	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
EHACDFAM_01486	CDS	255				hypothetical protein
EHACDFAM_01487	CDS	414	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
EHACDFAM_01488	CDS	549	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
EHACDFAM_01489	CDS	516	hmuU_1		COG0609	Hemin transport system permease protein HmuU
EHACDFAM_01490	CDS	186				hypothetical protein
EHACDFAM_01491	CDS	120				hypothetical protein
EHACDFAM_01492	CDS	228				hypothetical protein
EHACDFAM_01493	CDS	663				hypothetical protein
EHACDFAM_01494	CDS	294				hypothetical protein
EHACDFAM_01495	CDS	522	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EHACDFAM_01496	CDS	186				hypothetical protein
EHACDFAM_01497	CDS	450				hypothetical protein
EHACDFAM_01498	CDS	270				hypothetical protein
EHACDFAM_01499	CDS	507				hypothetical protein
EHACDFAM_01500	CDS	270				hypothetical protein
EHACDFAM_01501	CDS	264	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
EHACDFAM_01502	CDS	759				hypothetical protein
EHACDFAM_01503	CDS	510				hypothetical protein
EHACDFAM_01504	CDS	315				hypothetical protein
EHACDFAM_01505	CDS	807	dnaB_2	3.6.4.12	COG0305	Replicative DNA helicase
EHACDFAM_01506	CDS	471	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
EHACDFAM_01507	CDS	381	yhhA			putative protein YhhA
EHACDFAM_01508	CDS	123				hypothetical protein
EHACDFAM_01509	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
EHACDFAM_01510	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
EHACDFAM_01511	CDS	219				hypothetical protein
EHACDFAM_01512	CDS	207				hypothetical protein
EHACDFAM_01513	CDS	189				hypothetical protein
EHACDFAM_01514	CDS	369				hypothetical protein
EHACDFAM_01515	CDS	339	xerC_2			Tyrosine recombinase XerC
EHACDFAM_01516	CDS	117				hypothetical protein
